,Imóvel,Bairro,Metragem (m^2),Quartos,Banheiros,Vagas,Condominio
2155,"  Apartamento com 2 Quartos à Venda, 105m²  ",Paraíso, 105 , 2 , 2 , 2 ,1362
2156,"  Apartamento com 3 Quartos à Venda, 170m²  ",Móoca, 170 , 3 , 3 , 3 ,1000
2157,"  Casa com 4 Quartos à Venda, 125m²  ",Vila Nova Mazzei, 125 , 4 , 3 , 3 ,0
2158,"  Apartamento com 3 Quartos à Venda, 77m²  ",Vila Carrão, 77 , 3 , 2 , 2 ,716
2159,"  Apartamento com 3 Quartos à Venda, 78m²  ",Jaguaré, 78 , 3 , 2 , 1 ,600
2160,"  Apartamento com 3 Quartos à Venda, 82m²  ",Vila Sônia, 82 , 3 , 2 , 2 ,600
2161,  Just  ,Bela Vista, 60-71 , 2 , 2 , 1-2 ,0
2162,"  Casa de condomínio com 3 Quartos à Venda, 193m²  ",Tatuapé, 193 , 3 , 4 , 2 ,200
2163,"  Apartamento com 2 Quartos à Venda, 118m²  ",Pinheiros, 118 , 2 , 3 , 2 ,1150000
2164,"  Casa com 4 Quartos à Venda, 252m²  ",Jardim Alvorada, 252 , 4 , 5 , 2 ,0
2165,"  Apartamento com  Quarto à Venda, 69m²  ",Brooklin, 69 , 1 , 2 , 1 ,850
2166,"  Apartamento com 3 Quartos à Venda, 117m²  ",Brooklin, 117 , 3 , 4 , 2 ,1500
2167,"  Apartamento com 2 Quartos à Venda, 38m²  ",Santana, 38 , 2 , 1 , -- ,300
2168,  BELLA VISTA PAULICEIA  ,Bela Vista, 48 , 2 , 1 , -- ,0
2169,"  Casa com 4 Quartos à Venda, 290m²  ",Vila Cleonice, 290 , 4 , 3 , 4 ,0
2170,"  Apartamento com 2 Quartos à Venda, 153m²  ",Campo Belo, 153 , 2 , 3 , 2 ,1200
2171,"  Casa de condomínio com 3 Quartos à Venda, 350m²  ",Santo Amaro, 350 , 3 , 4 , 3 ,2500
2172,"  Apartamento com 3 Quartos à Venda, 69m²  ",Jardim Prudência, 69 , 3 , 2 , 1 ,700
2173,"  Apartamento com 3 Quartos à Venda, 78m²  ",Parque da Vila Prudente, 78 , 3 , 2 , 1 ,680
2174,"  Apartamento com 3 Quartos à Venda, 83m²  ",Jardim Brasil, 83 , 3 , 2 , 1 ,927
2175,  Bella Vista Pauliceia  ,Bela Vista, 39-107 , 1-2 , 1 , 1 ,0
2176,"  Apartamento com 2 Quartos à Venda, 68m²  ",Vila Matilde, 68 , 2 , 1 , 1 ,580
2177,"  Apartamento com 3 Quartos à Venda, 87m²  ",Vila Uberabinha, 87 , 3 , 3 , 1 ,1038
2178,"  Apartamento com 2 Quartos à Venda, 65m²  ",Panamby, 65 , 2 , 2 , 2 ,700
2179,"  Apartamento com  Quarto à Venda, 33m²  ",Vila Buarque, 33 , 1 , 1 , -- ,480
2180,"  Casa de condomínio com 3 Quartos à Venda, 136m²  ",Horto do Ipê, 136 , 3 , 3 , 2 ,636
2181,"  Apartamento com  Quarto à Venda, 20m²  ",Penha, 20 , 1 , 1 , -- ,94
2182,"  Apartamento com 3 Quartos à Venda, 88m²  ",Imirim, 88 , 3 , 2 , 2 ,700
2183,"  Apartamento com 2 Quartos à Venda, 81m²  ",Vila Mariana, 81 , 2 , 2 , 1 ,760
2184,"  Casa de condomínio com 3 Quartos à Venda, 132m²  ",Vila Araguaia, 132 , 3 , 2 , 2 ,190
2185,"  Apartamento com 2 Quartos à Venda, 64m²  ",Tatuapé, 64 , 2 , 2 , 1 ,630
2186,"  Apartamento com 4 Quartos à Venda, 120m²  ",Tatuapé, 120 , 4 , 3 , 4 ,1400
2187,"  Apartamento com 2 Quartos à Venda, 44m²  ",Vila Prudente, 44 , 2 , 1 , -- ,207
2188,"  Apartamento com 3 Quartos à Venda, 123m²  ",Vila Mascote, 123 , 3 , 3 , 2 ,1610
2189,"  Apartamento com 3 Quartos à Venda, 150m²  ",Lar São Paulo, 150 , 3 , 4 , 3 ,1120
2190,"  Apartamento com 2 Quartos à Venda, 105m²  ",Paraíso, 105 , 2 , 2 , 2 ,1362
2191,"  Apartamento com 3 Quartos à Venda, 170m²  ",Móoca, 170 , 3 , 3 , 3 ,1000
2192,"  Casa com 4 Quartos à Venda, 125m²  ",Vila Nova Mazzei, 125 , 4 , 3 , 3 ,0
2193,"  Apartamento com 3 Quartos à Venda, 77m²  ",Vila Carrão, 77 , 3 , 2 , 2 ,716
2194,"  Apartamento com 3 Quartos à Venda, 78m²  ",Jaguaré, 78 , 3 , 2 , 1 ,600
2195,"  Casa com 2 Quartos à Venda, 165m²  ",Conjunto Residencial Santa Terezinha, 165 , 2 , 3 , 2 ,0
2196,"  Apartamento com 3 Quartos à Venda, 82m²  ",Vila Sônia, 82 , 3 , 2 , 2 ,600
2197,  Just  ,Bela Vista, 60-71 , 2 , 2 , 1-2 ,0
2198,"  Casa de condomínio com 3 Quartos à Venda, 193m²  ",Tatuapé, 193 , 3 , 4 , 2 ,200
2199,"  Apartamento com 2 Quartos à Venda, 118m²  ",Pinheiros, 118 , 2 , 3 , 2 ,1150000
2200,"  Casa com 4 Quartos à Venda, 252m²  ",Jardim Alvorada, 252 , 4 , 5 , 2 ,0
2201,"  Apartamento com  Quarto à Venda, 69m²  ",Brooklin, 69 , 1 , 2 , 1 ,850
2202,"  Apartamento com 3 Quartos à Venda, 117m²  ",Brooklin, 117 , 3 , 4 , 2 ,1500
2203,"  Apartamento com 2 Quartos à Venda, 38m²  ",Santana, 38 , 2 , 1 , -- ,300
2204,  BELLA VISTA PAULICEIA  ,Bela Vista, 48 , 2 , 1 , -- ,0
2205,"  Apartamento com 2 Quartos à Venda, 153m²  ",Campo Belo, 153 , 2 , 3 , 2 ,1200
2206,"  Casa de condomínio com 3 Quartos à Venda, 350m²  ",Santo Amaro, 350 , 3 , 4 , 3 ,2500
2207,"  Apartamento com 3 Quartos à Venda, 69m²  ",Jardim Prudência, 69 , 3 , 2 , 1 ,700
2208,"  Apartamento com 3 Quartos à Venda, 78m²  ",Parque da Vila Prudente, 78 , 3 , 2 , 1 ,680
2209,"  Apartamento com 3 Quartos à Venda, 83m²  ",Jardim Brasil, 83 , 3 , 2 , 1 ,927
2210,"  Apartamento com 2 Quartos à Venda, 68m²  ",Vila Matilde, 68 , 2 , 1 , 1 ,580
2211,  Bella Vista Pauliceia  ,Bela Vista, 39-107 , 1-2 , 1 , 1 ,0
2212,"  Apartamento com 3 Quartos à Venda, 87m²  ",Vila Uberabinha, 87 , 3 , 3 , 1 ,1038
2213,"  Apartamento com 2 Quartos à Venda, 65m²  ",Panamby, 65 , 2 , 2 , 2 ,700
2214,"  Apartamento com  Quarto à Venda, 33m²  ",Vila Buarque, 33 , 1 , 1 , -- ,480
2215,"  Casa de condomínio com 3 Quartos à Venda, 136m²  ",Horto do Ipê, 136 , 3 , 3 , 2 ,636
2216,"  Apartamento com  Quarto à Venda, 20m²  ",Penha, 20 , 1 , 1 , -- ,94
2217,"  Apartamento com 3 Quartos à Venda, 88m²  ",Imirim, 88 , 3 , 2 , 2 ,700
2218,"  Apartamento com 2 Quartos à Venda, 81m²  ",Vila Mariana, 81 , 2 , 2 , 1 ,760
2219,"  Casa de condomínio com 3 Quartos à Venda, 132m²  ",Vila Araguaia, 132 , 3 , 2 , 2 ,190
2220,"  Apartamento com 2 Quartos à Venda, 64m²  ",Tatuapé, 64 , 2 , 2 , 1 ,630
2221,"  Apartamento com 4 Quartos à Venda, 120m²  ",Tatuapé, 120 , 4 , 3 , 4 ,1400
2222,"  Apartamento com 2 Quartos à Venda, 44m²  ",Vila Prudente, 44 , 2 , 1 , -- ,207
2223,"  Apartamento com 3 Quartos à Venda, 123m²  ",Vila Mascote, 123 , 3 , 3 , 2 ,1610
2224,"  Apartamento com 3 Quartos à Venda, 150m²  ",Lar São Paulo, 150 , 3 , 4 , 3 ,1120
2225,"  Apartamento com 2 Quartos à Venda, 105m²  ",Paraíso, 105 , 2 , 2 , 2 ,1362
2226,"  Apartamento com 3 Quartos à Venda, 170m²  ",Móoca, 170 , 3 , 3 , 3 ,1000
2227,"  Casa com 4 Quartos à Venda, 125m²  ",Vila Nova Mazzei, 125 , 4 , 3 , 3 ,0
2228,"  Apartamento com 3 Quartos à Venda, 77m²  ",Vila Carrão, 77 , 3 , 2 , 2 ,716
2229,"  Apartamento com 3 Quartos à Venda, 78m²  ",Jaguaré, 78 , 3 , 2 , 1 ,600
2230,"  Casa com 2 Quartos à Venda, 165m²  ",Conjunto Residencial Santa Terezinha, 165 , 2 , 3 , 2 ,0
2231,"  Casa com 3 Quartos à Venda, 280m²  ",Jardim França, 280 , 3 , 5 , 4 ,0
2232,"  Apartamento com 3 Quartos à Venda, 82m²  ",Vila Sônia, 82 , 3 , 2 , 2 ,600
2233,  Just  ,Bela Vista, 60-71 , 2 , 2 , 1-2 ,0
2234,"  Casa de condomínio com 3 Quartos à Venda, 193m²  ",Tatuapé, 193 , 3 , 4 , 2 ,200
2235,"  Apartamento com 2 Quartos à Venda, 118m²  ",Pinheiros, 118 , 2 , 3 , 2 ,1150000
2236,"  Casa com 4 Quartos à Venda, 252m²  ",Jardim Alvorada, 252 , 4 , 5 , 2 ,0
2237,"  Apartamento com  Quarto à Venda, 69m²  ",Brooklin, 69 , 1 , 2 , 1 ,850
2238,"  Apartamento com 3 Quartos à Venda, 117m²  ",Brooklin, 117 , 3 , 4 , 2 ,1500
2239,"  Apartamento com 2 Quartos à Venda, 38m²  ",Santana, 38 , 2 , 1 , -- ,300
2240,  BELLA VISTA PAULICEIA  ,Bela Vista, 48 , 2 , 1 , -- ,0
2241,"  Apartamento com 2 Quartos à Venda, 153m²  ",Campo Belo, 153 , 2 , 3 , 2 ,1200
2242,"  Casa de condomínio com 3 Quartos à Venda, 350m²  ",Santo Amaro, 350 , 3 , 4 , 3 ,2500
2243,"  Apartamento com 3 Quartos à Venda, 69m²  ",Jardim Prudência, 69 , 3 , 2 , 1 ,700
2244,"  Apartamento com 3 Quartos à Venda, 78m²  ",Parque da Vila Prudente, 78 , 3 , 2 , 1 ,680
2245,"  Apartamento com 3 Quartos à Venda, 83m²  ",Jardim Brasil, 83 , 3 , 2 , 1 ,927
2246,"  Apartamento com 2 Quartos à Venda, 68m²  ",Vila Matilde, 68 , 2 , 1 , 1 ,580
2247,  Bella Vista Pauliceia  ,Bela Vista, 39-107 , 1-2 , 1 , 1 ,0
2248,"  Apartamento com 3 Quartos à Venda, 87m²  ",Vila Uberabinha, 87 , 3 , 3 , 1 ,1038
2249,"  Apartamento com 2 Quartos à Venda, 65m²  ",Panamby, 65 , 2 , 2 , 2 ,700
2250,"  Apartamento com  Quarto à Venda, 33m²  ",Vila Buarque, 33 , 1 , 1 , -- ,480
2251,"  Casa de condomínio com 3 Quartos à Venda, 136m²  ",Horto do Ipê, 136 , 3 , 3 , 2 ,636
2252,"  Apartamento com  Quarto à Venda, 20m²  ",Penha, 20 , 1 , 1 , -- ,94
2253,"  Apartamento com 3 Quartos à Venda, 88m²  ",Imirim, 88 , 3 , 2 , 2 ,700
2254,"  Apartamento com 2 Quartos à Venda, 81m²  ",Vila Mariana, 81 , 2 , 2 , 1 ,760
2255,"  Casa de condomínio com 3 Quartos à Venda, 132m²  ",Vila Araguaia, 132 , 3 , 2 , 2 ,190
2256,"  Apartamento com 2 Quartos à Venda, 64m²  ",Tatuapé, 64 , 2 , 2 , 1 ,630
2257,"  Apartamento com 4 Quartos à Venda, 120m²  ",Tatuapé, 120 , 4 , 3 , 4 ,1400
2258,"  Apartamento com 2 Quartos à Venda, 44m²  ",Vila Prudente, 44 , 2 , 1 , -- ,207
2259,"  Apartamento com 3 Quartos à Venda, 123m²  ",Vila Mascote, 123 , 3 , 3 , 2 ,1610
2260,"  Apartamento com 3 Quartos à Venda, 150m²  ",Lar São Paulo, 150 , 3 , 4 , 3 ,1120
2261,"  Apartamento com 2 Quartos à Venda, 105m²  ",Paraíso, 105 , 2 , 2 , 2 ,1362
2262,"  Apartamento com 3 Quartos à Venda, 170m²  ",Móoca, 170 , 3 , 3 , 3 ,1000
2263,"  Casa com 4 Quartos à Venda, 125m²  ",Vila Nova Mazzei, 125 , 4 , 3 , 3 ,0
2264,"  Apartamento com 3 Quartos à Venda, 77m²  ",Vila Carrão, 77 , 3 , 2 , 2 ,716
2265,"  Apartamento com 3 Quartos à Venda, 78m²  ",Jaguaré, 78 , 3 , 2 , 1 ,600
2266,"  Casa com 2 Quartos à Venda, 165m²  ",Conjunto Residencial Santa Terezinha, 165 , 2 , 3 , 2 ,0
2267,"  Casa com 3 Quartos à Venda, 280m²  ",Jardim França, 280 , 3 , 5 , 4 ,0
2268,"  Apartamento com 3 Quartos à Venda, 82m²  ",Vila Sônia, 82 , 3 , 2 , 2 ,600
2269,  Just  ,Bela Vista, 60-71 , 2 , 2 , 1-2 ,0
2270,"  Casa de condomínio com 3 Quartos à Venda, 193m²  ",Tatuapé, 193 , 3 , 4 , 2 ,200
2271,"  Apartamento com 2 Quartos à Venda, 118m²  ",Pinheiros, 118 , 2 , 3 , 2 ,1150000
2272,"  Casa com 4 Quartos à Venda, 252m²  ",Jardim Alvorada, 252 , 4 , 5 , 2 ,0
2273,"  Apartamento com  Quarto à Venda, 69m²  ",Brooklin, 69 , 1 , 2 , 1 ,850
2274,"  Apartamento com 3 Quartos à Venda, 117m²  ",Brooklin, 117 , 3 , 4 , 2 ,1500
2275,"  Apartamento com 2 Quartos à Venda, 38m²  ",Santana, 38 , 2 , 1 , -- ,300
2276,  BELLA VISTA PAULICEIA  ,Bela Vista, 48 , 2 , 1 , -- ,0
2277,"  Casa com 4 Quartos à Venda, 290m²  ",Vila Cleonice, 290 , 4 , 3 , 4 ,0
2278,"  Apartamento com 2 Quartos à Venda, 153m²  ",Campo Belo, 153 , 2 , 3 , 2 ,1200
2279,"  Casa de condomínio com 3 Quartos à Venda, 350m²  ",Santo Amaro, 350 , 3 , 4 , 3 ,2500
2280,"  Apartamento com 3 Quartos à Venda, 69m²  ",Jardim Prudência, 69 , 3 , 2 , 1 ,700
2281,"  Apartamento com 3 Quartos à Venda, 78m²  ",Parque da Vila Prudente, 78 , 3 , 2 , 1 ,680
2282,"  Apartamento com 3 Quartos à Venda, 83m²  ",Jardim Brasil, 83 , 3 , 2 , 1 ,927
2283,  Bella Vista Pauliceia  ,Bela Vista, 39-107 , 1-2 , 1 , 1 ,0
2284,"  Apartamento com 2 Quartos à Venda, 68m²  ",Vila Matilde, 68 , 2 , 1 , 1 ,580
2285,"  Apartamento com 3 Quartos à Venda, 87m²  ",Vila Uberabinha, 87 , 3 , 3 , 1 ,1038
2286,"  Apartamento com 2 Quartos à Venda, 65m²  ",Panamby, 65 , 2 , 2 , 2 ,700
2287,"  Apartamento com  Quarto à Venda, 33m²  ",Vila Buarque, 33 , 1 , 1 , -- ,480
2288,"  Casa de condomínio com 3 Quartos à Venda, 136m²  ",Horto do Ipê, 136 , 3 , 3 , 2 ,636
2289,"  Apartamento com  Quarto à Venda, 20m²  ",Penha, 20 , 1 , 1 , -- ,94
2290,"  Apartamento com 3 Quartos à Venda, 88m²  ",Imirim, 88 , 3 , 2 , 2 ,700
2291,"  Apartamento com 2 Quartos à Venda, 81m²  ",Vila Mariana, 81 , 2 , 2 , 1 ,760
2292,"  Casa de condomínio com 3 Quartos à Venda, 132m²  ",Vila Araguaia, 132 , 3 , 2 , 2 ,190
2293,"  Flat com  Quarto à Venda, 33m²  ",Santana, 33 , 1 , 1 , 1 ,384
2294,"  Apartamento com 2 Quartos à Venda, 64m²  ",Tatuapé, 64 , 2 , 2 , 1 ,630
2295,"  Apartamento com 4 Quartos à Venda, 120m²  ",Tatuapé, 120 , 4 , 3 , 4 ,1400
2296,"  Apartamento com 2 Quartos à Venda, 136m²  ",Brooklin, 136 , 2 , 3 , 2 ,1100
2297,"  Apartamento com 2 Quartos à Venda, 44m²  ",Vila Prudente, 44 , 2 , 1 , -- ,207
2298,"  Apartamento com 3 Quartos à Venda, 123m²  ",Vila Mascote, 123 , 3 , 3 , 2 ,1610
2299,"  Apartamento com 3 Quartos à Venda, 150m²  ",Lar São Paulo, 150 , 3 , 4 , 3 ,1120
2300,"  Apartamento com 2 Quartos à Venda, 105m²  ",Paraíso, 105 , 2 , 2 , 2 ,1362
2301,"  Apartamento com 3 Quartos à Venda, 170m²  ",Móoca, 170 , 3 , 3 , 3 ,1000
2302,"  Casa com 4 Quartos à Venda, 125m²  ",Vila Nova Mazzei, 125 , 4 , 3 , 3 ,0
2303,"  Apartamento com 3 Quartos à Venda, 77m²  ",Vila Carrão, 77 , 3 , 2 , 2 ,716
2304,"  Apartamento com 3 Quartos à Venda, 82m²  ",Vila Sônia, 82 , 3 , 2 , 2 ,600
2305,  Just  ,Bela Vista, 60-71 , 2 , 2 , 1-2 ,0
2306,"  Casa de condomínio com 3 Quartos à Venda, 193m²  ",Tatuapé, 193 , 3 , 4 , 2 ,200
2307,"  Apartamento com 2 Quartos à Venda, 118m²  ",Pinheiros, 118 , 2 , 3 , 2 ,1150000
2308,"  Casa com 4 Quartos à Venda, 252m²  ",Jardim Alvorada, 252 , 4 , 5 , 2 ,0
2309,"  Apartamento com  Quarto à Venda, 69m²  ",Brooklin, 69 , 1 , 2 , 1 ,850
2310,"  Apartamento com 3 Quartos à Venda, 117m²  ",Brooklin, 117 , 3 , 4 , 2 ,1500
2311,"  Apartamento com 2 Quartos à Venda, 38m²  ",Santana, 38 , 2 , 1 , -- ,300
2312,  BELLA VISTA PAULICEIA  ,Bela Vista, 48 , 2 , 1 , -- ,0
2313,"  Casa com 4 Quartos à Venda, 290m²  ",Vila Cleonice, 290 , 4 , 3 , 4 ,0
2314,"  Apartamento com 2 Quartos à Venda, 153m²  ",Campo Belo, 153 , 2 , 3 , 2 ,1200
2315,"  Casa de condomínio com 3 Quartos à Venda, 350m²  ",Santo Amaro, 350 , 3 , 4 , 3 ,2500
2316,"  Apartamento com 3 Quartos à Venda, 69m²  ",Jardim Prudência, 69 , 3 , 2 , 1 ,700
2317,"  Apartamento com 3 Quartos à Venda, 78m²  ",Parque da Vila Prudente, 78 , 3 , 2 , 1 ,680
2318,"  Apartamento com 3 Quartos à Venda, 83m²  ",Jardim Brasil, 83 , 3 , 2 , 1 ,927
2319,  Bella Vista Pauliceia  ,Bela Vista, 39-107 , 1-2 , 1 , 1 ,0
2320,"  Apartamento com 2 Quartos à Venda, 68m²  ",Vila Matilde, 68 , 2 , 1 , 1 ,580
2321,"  Apartamento com 3 Quartos à Venda, 87m²  ",Vila Uberabinha, 87 , 3 , 3 , 1 ,1038
2322,"  Apartamento com 2 Quartos à Venda, 65m²  ",Panamby, 65 , 2 , 2 , 2 ,700
2323,"  Apartamento com  Quarto à Venda, 33m²  ",Vila Buarque, 33 , 1 , 1 , -- ,480
2324,"  Casa de condomínio com 3 Quartos à Venda, 136m²  ",Horto do Ipê, 136 , 3 , 3 , 2 ,636
2325,"  Apartamento com  Quarto à Venda, 20m²  ",Penha, 20 , 1 , 1 , -- ,94
2326,"  Apartamento com 3 Quartos à Venda, 88m²  ",Imirim, 88 , 3 , 2 , 2 ,700
2327,"  Apartamento com 2 Quartos à Venda, 81m²  ",Vila Mariana, 81 , 2 , 2 , 1 ,760
2328,"  Casa de condomínio com 3 Quartos à Venda, 132m²  ",Vila Araguaia, 132 , 3 , 2 , 2 ,190
2329,"  Apartamento com 2 Quartos à Venda, 64m²  ",Tatuapé, 64 , 2 , 2 , 1 ,630
2330,"  Apartamento com 4 Quartos à Venda, 120m²  ",Tatuapé, 120 , 4 , 3 , 4 ,1400
2331,"  Apartamento com 2 Quartos à Venda, 44m²  ",Vila Prudente, 44 , 2 , 1 , -- ,207
2332,"  Apartamento com 3 Quartos à Venda, 123m²  ",Vila Mascote, 123 , 3 , 3 , 2 ,1610
2333,"  Apartamento com 3 Quartos à Venda, 150m²  ",Lar São Paulo, 150 , 3 , 4 , 3 ,1120
2334,"  Apartamento com 2 Quartos à Venda, 105m²  ",Paraíso, 105 , 2 , 2 , 2 ,1362
2335,"  Apartamento com 3 Quartos à Venda, 170m²  ",Móoca, 170 , 3 , 3 , 3 ,1000
2336,"  Casa com 4 Quartos à Venda, 125m²  ",Vila Nova Mazzei, 125 , 4 , 3 , 3 ,0
2337,"  Apartamento com 3 Quartos à Venda, 77m²  ",Vila Carrão, 77 , 3 , 2 , 2 ,716
2338,"  Apartamento com 3 Quartos à Venda, 78m²  ",Jaguaré, 78 , 3 , 2 , 1 ,600
2339,"  Casa com 2 Quartos à Venda, 165m²  ",Conjunto Residencial Santa Terezinha, 165 , 2 , 3 , 2 ,0
2340,"  Apartamento com 3 Quartos à Venda, 82m²  ",Vila Sônia, 82 , 3 , 2 , 2 ,600
2341,  Just  ,Bela Vista, 60-71 , 2 , 2 , 1-2 ,0
2342,"  Casa de condomínio com 3 Quartos à Venda, 193m²  ",Tatuapé, 193 , 3 , 4 , 2 ,200
2343,"  Apartamento com 2 Quartos à Venda, 118m²  ",Pinheiros, 118 , 2 , 3 , 2 ,1150000
2344,"  Casa com 4 Quartos à Venda, 252m²  ",Jardim Alvorada, 252 , 4 , 5 , 2 ,0
2345,"  Apartamento com  Quarto à Venda, 69m²  ",Brooklin, 69 , 1 , 2 , 1 ,850
2346,"  Apartamento com 3 Quartos à Venda, 117m²  ",Brooklin, 117 , 3 , 4 , 2 ,1500
2347,"  Apartamento com 2 Quartos à Venda, 38m²  ",Santana, 38 , 2 , 1 , -- ,300
2348,  BELLA VISTA PAULICEIA  ,Bela Vista, 48 , 2 , 1 , -- ,0
2349,"  Apartamento com 2 Quartos à Venda, 153m²  ",Campo Belo, 153 , 2 , 3 , 2 ,1200
2350,"  Casa de condomínio com 3 Quartos à Venda, 350m²  ",Santo Amaro, 350 , 3 , 4 , 3 ,2500
2351,"  Apartamento com 3 Quartos à Venda, 69m²  ",Jardim Prudência, 69 , 3 , 2 , 1 ,700
2352,"  Apartamento com 3 Quartos à Venda, 78m²  ",Parque da Vila Prudente, 78 , 3 , 2 , 1 ,680
2353,"  Apartamento com 3 Quartos à Venda, 83m²  ",Jardim Brasil, 83 , 3 , 2 , 1 ,927
2354,"  Apartamento com 2 Quartos à Venda, 68m²  ",Vila Matilde, 68 , 2 , 1 , 1 ,580
2355,  Bella Vista Pauliceia  ,Bela Vista, 39-107 , 1-2 , 1 , 1 ,0
2356,"  Apartamento com 3 Quartos à Venda, 87m²  ",Vila Uberabinha, 87 , 3 , 3 , 1 ,1038
2357,"  Apartamento com 2 Quartos à Venda, 65m²  ",Panamby, 65 , 2 , 2 , 2 ,700
2358,"  Apartamento com  Quarto à Venda, 33m²  ",Vila Buarque, 33 , 1 , 1 , -- ,480
2359,"  Casa de condomínio com 3 Quartos à Venda, 136m²  ",Horto do Ipê, 136 , 3 , 3 , 2 ,636
2360,"  Apartamento com  Quarto à Venda, 20m²  ",Penha, 20 , 1 , 1 , -- ,94
2361,"  Apartamento com 3 Quartos à Venda, 88m²  ",Imirim, 88 , 3 , 2 , 2 ,700
2362,"  Apartamento com 2 Quartos à Venda, 81m²  ",Vila Mariana, 81 , 2 , 2 , 1 ,760
2363,"  Casa de condomínio com 3 Quartos à Venda, 132m²  ",Vila Araguaia, 132 , 3 , 2 , 2 ,190
2364,"  Flat com  Quarto à Venda, 33m²  ",Santana, 33 , 1 , 1 , 1 ,384
2365,"  Apartamento com 2 Quartos à Venda, 64m²  ",Tatuapé, 64 , 2 , 2 , 1 ,630
2366,"  Apartamento com 4 Quartos à Venda, 120m²  ",Tatuapé, 120 , 4 , 3 , 4 ,1400
2367,"  Apartamento com 2 Quartos à Venda, 136m²  ",Brooklin, 136 , 2 , 3 , 2 ,1100
2368,"  Apartamento com 2 Quartos à Venda, 44m²  ",Vila Prudente, 44 , 2 , 1 , -- ,207
2369,"  Apartamento com 3 Quartos à Venda, 123m²  ",Vila Mascote, 123 , 3 , 3 , 2 ,1610
2370,"  Apartamento com 3 Quartos à Venda, 150m²  ",Lar São Paulo, 150 , 3 , 4 , 3 ,1120
2371,"  Apartamento com 2 Quartos à Venda, 105m²  ",Paraíso, 105 , 2 , 2 , 2 ,1362
2372,"  Apartamento com 3 Quartos à Venda, 170m²  ",Móoca, 170 , 3 , 3 , 3 ,1000
2373,"  Casa com 4 Quartos à Venda, 125m²  ",Vila Nova Mazzei, 125 , 4 , 3 , 3 ,0
2374,"  Apartamento com 3 Quartos à Venda, 77m²  ",Vila Carrão, 77 , 3 , 2 , 2 ,716
2375,"  Apartamento com 3 Quartos à Venda, 78m²  ",Jaguaré, 78 , 3 , 2 , 1 ,600
2376,"  Apartamento com 3 Quartos à Venda, 82m²  ",Vila Sônia, 82 , 3 , 2 , 2 ,600
2377,  Just  ,Bela Vista, 60-71 , 2 , 2 , 1-2 ,0
2378,"  Casa de condomínio com 3 Quartos à Venda, 193m²  ",Tatuapé, 193 , 3 , 4 , 2 ,200
2379,"  Apartamento com 2 Quartos à Venda, 118m²  ",Pinheiros, 118 , 2 , 3 , 2 ,1150000
2380,"  Casa com 4 Quartos à Venda, 252m²  ",Jardim Alvorada, 252 , 4 , 5 , 2 ,0
2381,"  Apartamento com  Quarto à Venda, 69m²  ",Brooklin, 69 , 1 , 2 , 1 ,850
2382,"  Apartamento com 3 Quartos à Venda, 117m²  ",Brooklin, 117 , 3 , 4 , 2 ,1500
2383,"  Apartamento com 2 Quartos à Venda, 38m²  ",Santana, 38 , 2 , 1 , -- ,300
2384,  BELLA VISTA PAULICEIA  ,Bela Vista, 48 , 2 , 1 , -- ,0
2385,"  Apartamento com 2 Quartos à Venda, 153m²  ",Campo Belo, 153 , 2 , 3 , 2 ,1200
2386,"  Casa de condomínio com 3 Quartos à Venda, 350m²  ",Santo Amaro, 350 , 3 , 4 , 3 ,2500
2387,"  Apartamento com 3 Quartos à Venda, 69m²  ",Jardim Prudência, 69 , 3 , 2 , 1 ,700
2388,"  Apartamento com 3 Quartos à Venda, 78m²  ",Parque da Vila Prudente, 78 , 3 , 2 , 1 ,680
2389,"  Apartamento com 3 Quartos à Venda, 83m²  ",Jardim Brasil, 83 , 3 , 2 , 1 ,927
2390,"  Apartamento com 2 Quartos à Venda, 68m²  ",Vila Matilde, 68 , 2 , 1 , 1 ,580
2391,  Bella Vista Pauliceia  ,Bela Vista, 39-107 , 1-2 , 1 , 1 ,0
2392,"  Apartamento com 3 Quartos à Venda, 87m²  ",Vila Uberabinha, 87 , 3 , 3 , 1 ,1038
2393,"  Apartamento com 2 Quartos à Venda, 65m²  ",Panamby, 65 , 2 , 2 , 2 ,700
2394,"  Apartamento com  Quarto à Venda, 33m²  ",Vila Buarque, 33 , 1 , 1 , -- ,480
2395,"  Casa de condomínio com 3 Quartos à Venda, 136m²  ",Horto do Ipê, 136 , 3 , 3 , 2 ,636
2396,"  Apartamento com  Quarto à Venda, 20m²  ",Penha, 20 , 1 , 1 , -- ,94
2397,"  Apartamento com 3 Quartos à Venda, 88m²  ",Imirim, 88 , 3 , 2 , 2 ,700
2398,"  Apartamento com 2 Quartos à Venda, 81m²  ",Vila Mariana, 81 , 2 , 2 , 1 ,760
2399,"  Casa de condomínio com 3 Quartos à Venda, 132m²  ",Vila Araguaia, 132 , 3 , 2 , 2 ,190
2400,"  Flat com  Quarto à Venda, 33m²  ",Santana, 33 , 1 , 1 , 1 ,384
2401,"  Apartamento com 2 Quartos à Venda, 64m²  ",Tatuapé, 64 , 2 , 2 , 1 ,630
2402,"  Apartamento com 4 Quartos à Venda, 120m²  ",Tatuapé, 120 , 4 , 3 , 4 ,1400
2403,"  Apartamento com 2 Quartos à Venda, 136m²  ",Brooklin, 136 , 2 , 3 , 2 ,1100
