Imóvel,Preço (R$),Aluguel (R$),Bairro,Área (m²),Quartos,Banheiros,Vagas
Apartamento,2.160,1800,Santana, 41 ,2,1,0
Casa,27.116,25000,Jardim América, 370 ,5,8,5
Apartamento,7.862,5900,Vila Madalena, 133 ,2,2,2
Apartamento,1.325,1100,Vila Prudente, 30 ,1,1,0
Apartamento,2.000,1100,Bela Vista, 34 ,1,1,1
Apartamento,3.067,2350,Vila Santa Catarina, 70 ,2,1,1
Casa,2.109,2000,Jardim São Paulo(zona Norte), 110 ,2,1,0
Apartamento,2.805,2100,Santana, 44 ,1,1,1
Apartamento,8.347,7000,Vila Olímpia, 54 ,1,2,1
Apartamento,8.382,6282,Paraíso, 150 ,3,3,2
Cobertura,9.960,8400,Vila Nova Conceição, 136 ,2,3,2
Apartamento,3.350,2800,Saúde, 68 ,2,2,1
Apartamento,9.996,6000,Moema, 240 ,4,5,4
Apartamento,3.590,1700,Santana, 97 ,3,3,2
Apartamento,11.000,7500,Moema, 193 ,4,5,3
Apartamento,3.029,2500,Santana, 44 ,1,1,1
Sobrado,4.775,4400,Água Fria, 329 ,5,5,2
Sobrado,9.800,9000,Água Fria, 328 ,3,5,2
Condomínio,35.900,29000,Brooklin, 520 ,4,6,6
Apartamento,43.500,35000,Alto De Pinheiros, 508 ,4,0,5
Sobrado,24.500,22000,City Butantã, 700 ,4,6,6
Apartamento,1.804,1100,Santana, 36 ,1,1,1
Apartamento,22.000,15000,Alto De Pinheiros, 263 ,4,6,4
Apartamento,4.935,4000,Santana, 76 ,2,2,2
Apartamento,7.125,5500,Jardim Paulista, 110 ,3,3,1
Sobrado,4.095,4000,Santana, 180 ,3,4,2
Condomínio,1.550,1400,Vila Paulicéia, 297 ,1,1,0
Sobrado,18.127,15000,Sumaré, 1095 ,4,3,6
Apartamento,3.430,2600,Santana, 80 ,4,2,2
Apartamento,7.852,3700,Moema, 190 ,3,4,2
Apartamento,11.957,6212,Moema, 210 ,4,6,4
Apartamento,10.116,7500,Moema, 178 ,4,3,2
Sobrado,7.000,7000,Jardim França, 300 ,3,5,4
Casa,4.000,4000,Santana, 239 ,3,6,3
Apartamento,4.620,3250,Perdizes, 110 ,3,3,1
Apartamento,10.267,6000,Higienópolis, 220 ,3,4,2
Apartamento,5.440,1600,Morumbi, 200 ,3,1,4
Apartamento,37.695,30000,Moema, 315 ,4,5,4
Apartamento,4.375,3500,Pinheiros, 95 ,3,2,1
Apartamento,31.187,22000,Jardim América, 490 ,3,5,3
Apartamento,23.662,17500,Jardim América, 248 ,4,5,3
Apartamento,12.800,9000,Jardim Paulista, 239 ,3,3,1
Apartamento,2.773,1850,Bela Vista, 86 ,2,1,0
Apartamento,2.888,2300,Santana, 49 ,1,1,1
